Question,Answer
What are the design features of the Stainless Steel Venetian Trowel?,The trowel's trapezoidal shape allows you to reach every angle and the ergonomic wooden handle fits perfectly in hand.
How long does it take to deliver large orders of the Primacol's Stainless Steel Trowel that require pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the key features of the Primacol's Stainless Steel Trowel?,"The Primacol's Stainless Steel Trowel is described as having ""Gute Qualität!"" (Good Quality!) and ""Preis Leistung sehr gut!"" (Very good value for money). It is also described as ""Onmisbaar bij het gebrui van primacol polaris product. Zeer handig in gebruik. Prima resultaat"" (Indispensable for the use of Primacol Polaris products. Very handy to use. Excellent result)."
How much does shipping cost for the Primacol's Stainless Steel Trowel?,The shipping price depends on the weight of the shipment and is shown in the shopping cart after entering the delivery address.
What material is the Stainless Steel Venetian Trowel made of?,The material of the trowel is Stainless Steel.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How long does it take to deliver the Primacol's Stainless Steel Trowel to countries outside Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What are the key benefits of using the Stainless Steel Venetian Trowel?,The trowel is extremely handy and convenient  so the work done with it will be effortless and the results will always be the best.
How long does it take to deliver the Primacol's Stainless Steel Trowel to the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What is the email address to contact the manufacturer of the Primacol's Stainless Steel Trowel?,The email address to contact the manufacturer is info@painto.pl.
What is the address of the manufacturer of the Primacol's Stainless Steel Trowel?,The address of the manufacturer is ul. GORZKÓW 168  32-700  Gorzków  Poland.
Who is the manufacturer of the Primacol's Stainless Steel Trowel?,The manufacturer of the Primacol's Stainless Steel Trowel is PAINTO PĄCZEK SPÓŁKA JAWNA.
How long does it take to dispatch the Primacol's Stainless Steel Trowel after payment is received?,Orders are dispatched within 48 business hours after payment is received.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations state that import tax and customs duties apply at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  and the carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
What types of products is the Stainless Steel Venetian Trowel recommended for?,The trowel is recommended for use with the following products: Polaris  Royal Silk  Metaliq  and Concrete Effect Paint.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
What is the price  price per kg  and rating of the Modern Stone Kit?,The Modern Stone Kit is priced at €69 90  with a price per kg of €11 65. It has a rating of 5.0 out of 5.0 based on 6 reviews.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
What happens if my order value is below £135?,If the order value is below £135  then all fees are paid right away when placing the order.
How long does it take to receive my order in the United Kingdom?,Shipping to the United Kingdom usually takes about 5-6 business days.
What Primacol products is the Stainless Steel Taping Knife recommended for?,The Taping Knife is recommended for use with the following Primacol products: Modern Stone and Metaliq.
What is the price and rating of the Paint Roller Set?,The Paint Roller Set is priced at €14 90 and has a rating of 5.0 out of 5.0 based on 7 reviews.
What can the Stainless Steel Taping Knife be used for?,The Stainless Steel Taping Knife can be used for a number of applications  like applying putty or joint compound  covering holes or any of your taping needs  always providing a professional finish.
What is the price and rating of the Stainless Steel Trowel?,The Stainless Steel Trowel is priced at €14 90 and has a rating of 5.0 out of 5.0 based on 2 reviews.
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What is the address of the manufacturer CIRET SP. Z O.O.?,The address of the manufacturer CIRET SP. Z O.O. is Ul. STAROGARDZKA 42  83-010  STRASZYN POLAND.
How long does it take to receive my large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
What are the benefits of using the Stainless Steel Taping Knife?,The Taping Knife is extremely handy and convenient  so the work done with it will be effortless and the results will always be the best.
What is the price of the Metaliq Kit?,The Metaliq Kit is priced at €89 00 and has a price per kg of €17 80. It has a rating of 4.96 out of 5.0 based on 23 reviews.
What happens if my order value exceeds £135?,When the net value of the order goods exceeds the equivalent of £135  HM Revenue & Customs regulations states that import tax and customs duties applies at the UK border. This means that when placing an order  you will only pay the net value of the order (0% VAT)  we will not charge you tax and duty. The carrier will contact you to collect the related fees on behalf of HM Revenue & Customs before the delivery.
